post_id,likes,pair_count,left,right
synthetic_post_0000.jpg,821,23,creative,drawing
synthetic_post_0000.jpg,821,5,creative,love
synthetic_post_0000.jpg,821,4,creative,wanderlust
synthetic_post_0000.jpg,821,2,drawing,love
synthetic_post_0000.jpg,821,11,drawing,wanderlust
synthetic_post_0000.jpg,821,7,love,wanderlust
synthetic_post_0001.jpg,873,18,chef,delicious
synthetic_post_0001.jpg,873,32,chef,foodie
synthetic_post_0001.jpg,873,25,chef,foodporn
synthetic_post_0001.jpg,873,28,delicious,foodie
synthetic_post_0001.jpg,873,20,delicious,foodporn
synthetic_post_0001.jpg,873,26,foodie,foodporn
synthetic_post_0002.jpg,1188,6,artist,beauty
synthetic_post_0002.jpg,1188,30,artist,creative
synthetic_post_0002.jpg,1188,27,artist,drawing
synthetic_post_0002.jpg,1188,5,artist,fashion
synthetic_post_0002.jpg,1188,6,artist,photooftheday
synthetic_post_0002.jpg,1188,9,beauty,creative
synthetic_post_0002.jpg,1188,3,beauty,drawing
synthetic_post_0002.jpg,1188,20,beauty,fashion
synthetic_post_0002.jpg,1188,3,beauty,photooftheday
synthetic_post_0002.jpg,1188,23,creative,drawing
synthetic_post_0002.jpg,1188,10,creative,fashion
synthetic_post_0002.jpg,1188,7,creative,photooftheday
synthetic_post_0002.jpg,1188,4,drawing,fashion
synthetic_post_0002.jpg,1188,8,drawing,photooftheday
synthetic_post_0002.jpg,1188,8,fashion,photooftheday
synthetic_post_0003.jpg,697,3,coding,nature
synthetic_post_0003.jpg,697,4,coding,photography
synthetic_post_0003.jpg,697,19,coding,startup
synthetic_post_0003.jpg,697,4,coding,vacation
synthetic_post_0003.jpg,697,21,nature,photography
synthetic_post_0003.jpg,697,5,nature,startup
synthetic_post_0003.jpg,697,22,nature,vacation
synthetic_post_0003.jpg,697,4,photography,startup
synthetic_post_0003.jpg,697,20,photography,vacation
synthetic_post_0003.jpg,697,3,startup,vacation
synthetic_post_0004.jpg,1529,4,followme,gym
synthetic_post_0004.jpg,1529,3,followme,model
synthetic_post_0004.jpg,1529,5,followme,motivation
synthetic_post_0004.jpg,1529,2,followme,style
synthetic_post_0004.jpg,1529,4,followme,training
synthetic_post_0004.jpg,1529,4,followme,workout
synthetic_post_0004.jpg,1529,6,gym,model
synthetic_post_0004.jpg,1529,28,gym,motivation
synthetic_post_0004.jpg,1529,4,gym,style
synthetic_post_0004.jpg,1529,26,gym,training
synthetic_post_0004.jpg,1529,24,gym,workout
synthetic_post_0004.jpg,1529,6,model,motivation
synthetic_post_0004.jpg,1529,27,model,style
synthetic_post_0004.jpg,1529,8,model,training
synthetic_post_0004.jpg,1529,7,model,workout
synthetic_post_0004.jpg,1529,6,motivation,style
synthetic_post_0004.jpg,1529,29,motivation,training
synthetic_post_0004.jpg,1529,27,motivation,workout
synthetic_post_0004.jpg,1529,6,style,training
synthetic_post_0004.jpg,1529,5,style,workout
synthetic_post_0004.jpg,1529,42,training,workout
synthetic_post_0005.jpg,843,6,gym,model
synthetic_post_0005.jpg,843,6,gym,ootd
synthetic_post_0005.jpg,843,3,gym,streetstyle
synthetic_post_0005.jpg,843,4,gym,style
synthetic_post_0005.jpg,843,20,model,ootd
synthetic_post_0005.jpg,843,22,model,streetstyle
synthetic_post_0005.jpg,843,27,model,style
synthetic_post_0005.jpg,843,18,ootd,streetstyle
synthetic_post_0005.jpg,843,23,ootd,style
synthetic_post_0005.jpg,843,22,streetstyle,style
synthetic_post_0006.jpg,1014,6,artist,beauty
synthetic_post_0006.jpg,1014,24,artist,design
synthetic_post_0006.jpg,1014,27,artist,drawing
synthetic_post_0006.jpg,1014,2,artist,style
synthetic_post_0006.jpg,1014,2,beauty,design
synthetic_post_0006.jpg,1014,3,beauty,drawing
synthetic_post_0006.jpg,1014,25,beauty,style
synthetic_post_0006.jpg,1014,23,design,drawing
synthetic_post_0006.jpg,1014,3,design,style
synthetic_post_0006.jpg,1014,2,drawing,style
synthetic_post_0007.jpg,973,12,software,style
synthetic_post_0007.jpg,973,26,software,tech
synthetic_post_0007.jpg,973,10,style,tech
synthetic_post_0008.jpg,616,4,innovation,motivation
synthetic_post_0008.jpg,616,6,innovation,training
synthetic_post_0008.jpg,616,29,motivation,training
synthetic_post_0009.jpg,787,5,drawing,explore
synthetic_post_0009.jpg,787,33,drawing,gallery
synthetic_post_0009.jpg,787,2,drawing,nature
synthetic_post_0009.jpg,787,4,drawing,travel
synthetic_post_0009.jpg,787,11,drawing,wanderlust
synthetic_post_0009.jpg,787,6,explore,gallery
synthetic_post_0009.jpg,787,25,explore,nature
synthetic_post_0009.jpg,787,30,explore,travel
synthetic_post_0009.jpg,787,25,explore,wanderlust
synthetic_post_0009.jpg,787,6,gallery,nature
synthetic_post_0009.jpg,787,6,gallery,travel
synthetic_post_0009.jpg,787,8,gallery,wanderlust
synthetic_post_0009.jpg,787,27,nature,travel
synthetic_post_0009.jpg,787,21,nature,wanderlust
synthetic_post_0009.jpg,787,23,travel,wanderlust
synthetic_post_0010.jpg,620,8,developer,fitness
synthetic_post_0010.jpg,620,9,developer,gym
synthetic_post_0010.jpg,620,5,developer,life
synthetic_post_0010.jpg,620,28,developer,software
synthetic_post_0010.jpg,620,26,developer,tech
synthetic_post_0010.jpg,620,24,fitness,gym
synthetic_post_0010.jpg,620,6,fitness,life
synthetic_post_0010.jpg,620,6,fitness,software
synthetic_post_0010.jpg,620,5,fitness,tech
synthetic_post_0010.jpg,620,7,gym,life
synthetic_post_0010.jpg,620,4,gym,software
synthetic_post_0010.jpg,620,5,gym,tech
synthetic_post_0010.jpg,620,5,life,software
synthetic_post_0010.jpg,620,5,life,tech
synthetic_post_0010.jpg,620,26,software,tech
