file_name,like,hash_combo
synthetic_post_0000.jpg,821,"[('creative', 'drawing'), ('creative', 'love'), ('creative', 'wanderlust'), ('drawing', 'love'), ('drawing', 'wanderlust'), ('love', 'wanderlust')]"
synthetic_post_0001.jpg,873,"[('chef', 'delicious'), ('chef', 'foodie'), ('chef', 'foodporn'), ('delicious', 'foodie'), ('delicious', 'foodporn'), ('foodie', 'foodporn')]"
synthetic_post_0002.jpg,1188,"[('artist', 'beauty'), ('artist', 'creative'), ('artist', 'drawing'), ('artist', 'fashion'), ('artist', 'photooftheday'), ('beauty', 'creative'), ('beauty', 'drawing'), ('beauty', 'fashion'), ('beauty', 'photooftheday'), ('creative', 'drawing'), ('creative', 'fashion'), ('creative', 'photooftheday'), ('drawing', 'fashion'), ('drawing', 'photooftheday'), ('fashion', 'photooftheday')]"
synthetic_post_0003.jpg,697,"[('coding', 'nature'), ('coding', 'photography'), ('coding', 'startup'), ('coding', 'vacation'), ('nature', 'photography'), ('nature', 'startup'), ('nature', 'vacation'), ('photography', 'startup'), ('photography', 'vacation'), ('startup', 'vacation')]"
synthetic_post_0004.jpg,1529,"[('followme', 'gym'), ('followme', 'model'), ('followme', 'motivation'), ('followme', 'style'), ('followme', 'training'), ('followme', 'workout'), ('gym', 'model'), ('gym', 'motivation'), ('gym', 'style'), ('gym', 'training'), ('gym', 'workout'), ('model', 'motivation'), ('model', 'style'), ('model', 'training'), ('model', 'workout'), ('motivation', 'style'), ('motivation', 'training'), ('motivation', 'workout'), ('style', 'training'), ('style', 'workout'), ('training', 'workout')]"
synthetic_post_0005.jpg,843,"[('gym', 'model'), ('gym', 'ootd'), ('gym', 'streetstyle'), ('gym', 'style'), ('model', 'ootd'), ('model', 'streetstyle'), ('model', 'style'), ('ootd', 'streetstyle'), ('ootd', 'style'), ('streetstyle', 'style')]"
synthetic_post_0006.jpg,1014,"[('artist', 'beauty'), ('artist', 'design'), ('artist', 'drawing'), ('artist', 'style'), ('beauty', 'design'), ('beauty', 'drawing'), ('beauty', 'style'), ('design', 'drawing'), ('design', 'style'), ('drawing', 'style')]"
synthetic_post_0007.jpg,973,"[('software', 'style'), ('software', 'tech'), ('style', 'tech')]"
synthetic_post_0008.jpg,616,"[('innovation', 'motivation'), ('innovation', 'training'), ('motivation', 'training')]"
synthetic_post_0009.jpg,787,"[('drawing', 'explore'), ('drawing', 'gallery'), ('drawing', 'nature'), ('drawing', 'travel'), ('drawing', 'wanderlust'), ('explore', 'gallery'), ('explore', 'nature'), ('explore', 'travel'), ('explore', 'wanderlust'), ('gallery', 'nature'), ('gallery', 'travel'), ('gallery', 'wanderlust'), ('nature', 'travel'), ('nature', 'wanderlust'), ('travel', 'wanderlust')]"
synthetic_post_0010.jpg,620,"[('developer', 'fitness'), ('developer', 'gym'), ('developer', 'life'), ('developer', 'software'), ('developer', 'tech'), ('fitness', 'gym'), ('fitness', 'life'), ('fitness', 'software'), ('fitness', 'tech'), ('gym', 'life'), ('gym', 'software'), ('gym', 'tech'), ('life', 'software'), ('life', 'tech'), ('software', 'tech')]"
synthetic_post_0011.jpg,1124,"[('artist', 'creative'), ('artist', 'design'), ('artist', 'illustration'), ('artist', 'streetstyle'), ('creative', 'design'), ('creative', 'illustration'), ('creative', 'streetstyle'), ('design', 'illustration'), ('design', 'streetstyle'), ('illustration', 'streetstyle')]"
synthetic_post_0012.jpg,704,"[('delicious', 'explore'), ('delicious', 'travel'), ('explore', 'travel')]"
synthetic_post_0013.jpg,1146,"[('fitfam', 'instagood'), ('fitfam', 'motivation'), ('fitfam', 'nature'), ('fitfam', 'wanderlust'), ('instagood', 'motivation'), ('instagood', 'nature'), ('instagood', 'wanderlust'), ('motivation', 'nature'), ('motivation', 'wanderlust'), ('nature', 'wanderlust')]"
synthetic_post_0014.jpg,981,"[('adventure', 'drawing'), ('adventure', 'explore'), ('adventure', 'followme'), ('adventure', 'gallery'), ('adventure', 'photography'), ('drawing', 'explore'), ('drawing', 'followme'), ('drawing', 'gallery'), ('drawing', 'photography'), ('explore', 'followme'), ('explore', 'gallery'), ('explore', 'photography'), ('followme', 'gallery'), ('followme', 'photography'), ('gallery', 'photography')]"
synthetic_post_0015.jpg,968,"[('chef', 'foodporn'), ('chef', 'homemade'), ('chef', 'instagood'), ('chef', 'yummy'), ('foodporn', 'homemade'), ('foodporn', 'instagood'), ('foodporn', 'yummy'), ('homemade', 'instagood'), ('homemade', 'yummy'), ('instagood', 'yummy')]"
synthetic_post_0016.jpg,648,"[('adventure', 'foodporn'), ('adventure', 'vacation'), ('adventure', 'yummy'), ('foodporn', 'vacation'), ('foodporn', 'yummy'), ('vacation', 'yummy')]"
synthetic_post_0017.jpg,924,"[('beauty', 'creative'), ('beauty', 'love'), ('beauty', 'outfit'), ('beauty', 'streetstyle'), ('beauty', 'style'), ('creative', 'love'), ('creative', 'outfit'), ('creative', 'streetstyle'), ('creative', 'style'), ('love', 'outfit'), ('love', 'streetstyle'), ('love', 'style'), ('outfit', 'streetstyle'), ('outfit', 'style'), ('streetstyle', 'style')]"
synthetic_post_0018.jpg,371,"[('instagood', 'startup'), ('instagood', 'tech'), ('startup', 'tech')]"
synthetic_post_0019.jpg,960,"[('explore', 'innovation'), ('explore', 'software'), ('explore', 'startup'), ('explore', 'wanderlust'), ('innovation', 'software'), ('innovation', 'startup'), ('innovation', 'wanderlust'), ('software', 'startup'), ('software', 'wanderlust'), ('startup', 'wanderlust')]"
synthetic_post_0020.jpg,794,"[('fitfam', 'health'), ('fitfam', 'travel'), ('health', 'travel')]"
synthetic_post_0021.jpg,758,"[('health', 'homemade'), ('health', 'training'), ('health', 'workout'), ('homemade', 'training'), ('homemade', 'workout'), ('training', 'workout')]"
synthetic_post_0022.jpg,761,"[('gym', 'motivation'), ('gym', 'training'), ('gym', 'workout'), ('motivation', 'training'), ('motivation', 'workout'), ('training', 'workout')]"
synthetic_post_0023.jpg,630,"[('gym', 'photography'), ('gym', 'wanderlust'), ('gym', 'workout'), ('photography', 'wanderlust'), ('photography', 'workout'), ('wanderlust', 'workout')]"
synthetic_post_0024.jpg,1075,"[('developer', 'fitfam'), ('developer', 'fitness'), ('developer', 'gym'), ('developer', 'tech'), ('developer', 'training'), ('fitfam', 'fitness'), ('fitfam', 'gym'), ('fitfam', 'tech'), ('fitfam', 'training'), ('fitness', 'gym'), ('fitness', 'tech'), ('fitness', 'training'), ('gym', 'tech'), ('gym', 'training'), ('tech', 'training')]"
synthetic_post_0025.jpg,704,"[('foodie', 'foodporn'), ('foodie', 'instafood'), ('foodporn', 'instafood')]"
synthetic_post_0026.jpg,670,"[('beauty', 'followme'), ('beauty', 'foodporn'), ('beauty', 'instafood'), ('beauty', 'outfit'), ('followme', 'foodporn'), ('followme', 'instafood'), ('followme', 'outfit'), ('foodporn', 'instafood'), ('foodporn', 'outfit'), ('instafood', 'outfit')]"
synthetic_post_0027.jpg,878,"[('creative', 'drawing'), ('creative', 'illustration'), ('creative', 'tech'), ('drawing', 'illustration'), ('drawing', 'tech'), ('illustration', 'tech')]"
synthetic_post_0028.jpg,1277,"[('art', 'followme'), ('art', 'gallery'), ('art', 'gym'), ('art', 'health'), ('art', 'illustration'), ('followme', 'gallery'), ('followme', 'gym'), ('followme', 'health'), ('followme', 'illustration'), ('gallery', 'gym'), ('gallery', 'health'), ('gallery', 'illustration'), ('gym', 'health'), ('gym', 'illustration'), ('health', 'illustration')]"
synthetic_post_0029.jpg,1120,"[('creative', 'explore'), ('creative', 'illustration'), ('creative', 'nature'), ('creative', 'travel'), ('explore', 'illustration'), ('explore', 'nature'), ('explore', 'travel'), ('illustration', 'nature'), ('illustration', 'travel'), ('nature', 'travel')]"
synthetic_post_0030.jpg,448,"[('gallery', 'illustration'), ('gallery', 'life'), ('illustration', 'life')]"
synthetic_post_0031.jpg,755,"[('beauty', 'outfit'), ('beauty', 'streetstyle'), ('beauty', 'style'), ('outfit', 'streetstyle'), ('outfit', 'style'), ('streetstyle', 'style')]"
synthetic_post_0032.jpg,754,"[('foodie', 'foodporn')]"
synthetic_post_0033.jpg,664,"[('beauty', 'chef'), ('beauty', 'model'), ('chef', 'model')]"
synthetic_post_0034.jpg,1180,"[('ai', 'coding'), ('ai', 'delicious'), ('ai', 'homemade'), ('coding', 'delicious'), ('coding', 'homemade'), ('delicious', 'homemade')]"
synthetic_post_0035.jpg,1046,"[('foodporn', 'gallery'), ('foodporn', 'illustration'), ('foodporn', 'instafood'), ('foodporn', 'yummy'), ('gallery', 'illustration'), ('gallery', 'instafood'), ('gallery', 'yummy'), ('illustration', 'instafood'), ('illustration', 'yummy'), ('instafood', 'yummy')]"
synthetic_post_0036.jpg,895,"[('fitness', 'gym'), ('fitness', 'health'), ('fitness', 'instagood'), ('fitness', 'motivation'), ('gym', 'health'), ('gym', 'instagood'), ('gym', 'motivation'), ('health', 'instagood'), ('health', 'motivation'), ('instagood', 'motivation')]"
synthetic_post_0037.jpg,754,"[('beauty', 'nature'), ('beauty', 'outfit'), ('beauty', 'vacation'), ('nature', 'outfit'), ('nature', 'vacation'), ('outfit', 'vacation')]"
synthetic_post_0038.jpg,950,"[('beauty', 'coding'), ('beauty', 'developer'), ('beauty', 'model'), ('beauty', 'streetstyle'), ('beauty', 'style'), ('coding', 'developer'), ('coding', 'model'), ('coding', 'streetstyle'), ('coding', 'style'), ('developer', 'model'), ('developer', 'streetstyle'), ('developer', 'style'), ('model', 'streetstyle'), ('model', 'style'), ('streetstyle', 'style')]"
synthetic_post_0039.jpg,315,"[('ai', 'startup')]"
synthetic_post_0040.jpg,1033,"[('beauty', 'fitfam'), ('beauty', 'gym'), ('beauty', 'like4like'), ('beauty', 'outfit'), ('beauty', 'workout'), ('fitfam', 'gym'), ('fitfam', 'like4like'), ('fitfam', 'outfit'), ('fitfam', 'workout'), ('gym', 'like4like'), ('gym', 'outfit'), ('gym', 'workout'), ('like4like', 'outfit'), ('like4like', 'workout'), ('outfit', 'workout')]"
synthetic_post_0041.jpg,957,"[('fitness', 'foodporn'), ('fitness', 'health'), ('fitness', 'motivation'), ('fitness', 'training'), ('foodporn', 'health'), ('foodporn', 'motivation'), ('foodporn', 'training'), ('health', 'motivation'), ('health', 'training'), ('motivation', 'training')]"
synthetic_post_0042.jpg,867,"[('beauty', 'gallery'), ('beauty', 'ootd'), ('beauty', 'style'), ('gallery', 'ootd'), ('gallery', 'style'), ('ootd', 'style')]"
synthetic_post_0043.jpg,819,"[('innovation', 'photography'), ('innovation', 'software'), ('innovation', 'travel'), ('innovation', 'vacation'), ('innovation', 'wanderlust'), ('photography', 'software'), ('photography', 'travel'), ('photography', 'vacation'), ('photography', 'wanderlust'), ('software', 'travel'), ('software', 'vacation'), ('software', 'wanderlust'), ('travel', 'vacation'), ('travel', 'wanderlust'), ('vacation', 'wanderlust')]"
synthetic_post_0044.jpg,1163,"[('ai', 'design'), ('ai', 'innovation'), ('ai', 'tech'), ('design', 'innovation'), ('design', 'tech'), ('innovation', 'tech')]"
synthetic_post_0045.jpg,769,"[('ai', 'like4like'), ('ai', 'software'), ('ai', 'startup'), ('like4like', 'software'), ('like4like', 'startup'), ('software', 'startup')]"
synthetic_post_0046.jpg,772,"[('explore', 'gym'), ('explore', 'training'), ('explore', 'wanderlust'), ('explore', 'workout'), ('gym', 'training'), ('gym', 'wanderlust'), ('gym', 'workout'), ('training', 'wanderlust'), ('training', 'workout'), ('wanderlust', 'workout')]"
synthetic_post_0047.jpg,839,"[('delicious', 'drawing'), ('delicious', 'foodporn'), ('delicious', 'gallery'), ('delicious', 'yummy'), ('drawing', 'foodporn'), ('drawing', 'gallery'), ('drawing', 'yummy'), ('foodporn', 'gallery'), ('foodporn', 'yummy'), ('gallery', 'yummy')]"
synthetic_post_0048.jpg,838,"[('ai', 'design'), ('ai', 'drawing'), ('ai', 'illustration'), ('ai', 'innovation'), ('design', 'drawing'), ('design', 'illustration'), ('design', 'innovation'), ('drawing', 'illustration'), ('drawing', 'innovation'), ('illustration', 'innovation')]"
synthetic_post_0049.jpg,757,"[('art', 'drawing'), ('art', 'foodporn'), ('art', 'happy'), ('art', 'illustration'), ('drawing', 'foodporn'), ('drawing', 'happy'), ('drawing', 'illustration'), ('foodporn', 'happy'), ('foodporn', 'illustration'), ('happy', 'illustration')]"
synthetic_post_0050.jpg,1060,"[('fitness', 'health'), ('fitness', 'instafood'), ('fitness', 'love'), ('fitness', 'motivation'), ('health', 'instafood'), ('health', 'love'), ('health', 'motivation'), ('instafood', 'love'), ('instafood', 'motivation'), ('love', 'motivation')]"
synthetic_post_0051.jpg,909,"[('fashion', 'like4like'), ('fashion', 'ootd'), ('fashion', 'style'), ('like4like', 'ootd'), ('like4like', 'style'), ('ootd', 'style')]"
synthetic_post_0052.jpg,1115,"[('foodie', 'foodporn'), ('foodie', 'homemade'), ('foodie', 'instafood'), ('foodporn', 'homemade'), ('foodporn', 'instafood'), ('homemade', 'instafood')]"
synthetic_post_0053.jpg,606,"[('beauty', 'instagood'), ('beauty', 'software'), ('beauty', 'startup'), ('beauty', 'tech'), ('instagood', 'software'), ('instagood', 'startup'), ('instagood', 'tech'), ('software', 'startup'), ('software', 'tech'), ('startup', 'tech')]"
synthetic_post_0054.jpg,836,"[('adventure', 'fashion'), ('adventure', 'nature'), ('adventure', 'photography'), ('adventure', 'photooftheday'), ('adventure', 'style'), ('fashion', 'nature'), ('fashion', 'photography'), ('fashion', 'photooftheday'), ('fashion', 'style'), ('nature', 'photography'), ('nature', 'photooftheday'), ('nature', 'style'), ('photography', 'photooftheday'), ('photography', 'style'), ('photooftheday', 'style')]"
